Cash,,1/3/16,,Safeway ,Personal Care,10
Cash,,5/15/16,,Bath Oils,Personal Care,15
Cash,,5/15/16,,Drinks with Anne,Restaurants/Dining,20
Cash,,5/22/16,,Wegmans,Automotive Expenses,22.32
Cash,,5/22/16,,Luciano - water,Groceries,1.75
Cash,,5/24/16,,Fairmont Parking - Women in Agile Meetup,Business Miscellaneous - Parking,15
Cash,,5/24/16,,Korean Seamstress at Univ. Mall,Clothing/Shoes,34
Cash,,5/22/17,,Luciano - water,Groceries,1.75
Cash,,5/24/17,,Fairmont Parking - Women in Agile Meetup,Business Miscellaneous - Parking,15
Cash,,5/24/17,,Korean Seamstress at Univ. Mall,Clothing/Shoes,34
